country_code,country_name,year,forest_area_sqkm,total_area_sqkm,forest_percetage,region,income_group
CMR,Cameroon,2016,185960,472709.9909,263.890821013743,Sub-Saharan Africa,Lower middle income
COD,"Congo, Dem. Rep.",2016,1522665.938,2267049.9992,450.550070898401,Sub-Saharan Africa,Low income
COG,"Congo, Rep.",2016,223185.9961,341499.9952,438.405271297764,Sub-Saharan Africa,Lower middle income
COL,Colombia,2016,584750.1953,1109500.0042,353.543287088158,Latin America & Caribbean,Upper middle income
COM,Comoros,2016,365.9999847,1860.9927,131.927680176611,Sub-Saharan Africa,Low income
CPV,Cabo Verde,2016,908.6000061,4029.9882,151.240633928392,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,2016,27861.99951,51060.0111,366.041986451959,Latin America & Caribbean,Upper middle income
CUB,Cuba,2016,32536.00098,104019.9944,209.819996081386,Latin America & Caribbean,Upper middle income
CUW,Curacao,2016,,444.0037,,Latin America & Caribbean,High income
CYM,Cayman Islands,2016,126.9999981,239.9894,354.985964902871,Latin America & Caribbean,High income
CYP,Cyprus,2016,1726.699982,9240.0063,125.355717011299,Europe & Central Asia,High income
CZE,Czech Republic,2016,26690,77219.9953,231.855995722911,Europe & Central Asia,High income
DEU,Germany,2016,114210,349359.9977,219.295885631957,Europe & Central Asia,High income
DJI,Djibouti,2016,55.99999905,23180.0079,1.62059303537729,Middle East & North Africa,Lower middle income
DMA,Dominica,2016,430.6000137,750.0122,385.1281288359,Latin America & Caribbean,Upper middle income
DNK,Denmark,2016,6172.199707,41990.0124,98.6037642954511,Europe & Central Asia,High income
DOM,Dominican Republic,2016,20161.99951,48310.0009,279.960062913249,Latin America & Caribbean,Upper middle income
DZA,Algeria,2016,19635.99976,2381739.9907,5.53042105789822,Middle East & North Africa,Upper middle income
ECU,Ecuador,2016,124691.5039,248359.9951,336.786557341815,Latin America & Caribbean,Upper middle income
EGY,"Egypt, Arab Rep.",2016,735.9999847,995450.0017,0.495972825248333,Middle East & North Africa,Lower middle income
ERI,Eritrea,2016,15055.99976,101000.0026,99.9971776139895,Sub-Saharan Africa,Low income
ESP,Spain,2016,184520,499563.9915,247.771783607426,Europe & Central Asia,High income
EST,Estonia,2016,22316.00098,43469.9902,344.370830278996,Europe & Central Asia,High income
ETH,Ethiopia,2016,125395.9961,1000000.0101,84.1168872942604,Sub-Saharan Africa,Low income
FIN,Finland,2016,222180,303910.0043,490.410199372301,Europe & Central Asia,High income
FJI,Fiji,2016,10220.59998,18269.9895,375.264620298977,East Asia & Pacific,Upper middle income
FRA,France,2016,171020,547557.0023,209.515951249118,Europe & Central Asia,High income
FRO,Faroe Islands,2016,0.799999982,1396.01,0.384415575766234,Europe & Central Asia,High income
FSM,"Micronesia, Fed. Sts.",2016,643.0000305,699.9993,616.187545415695,East Asia & Pacific,Lower middle income
GAB,Gabon,2016,232000,257670.0091,603.981505428526,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,2016,31610,241930.0093,87.6464402301827,Europe & Central Asia,High income
GEO,Georgia,2016,28223.99902,69490.0108,272.455574040668,Europe & Central Asia,Lower middle income
GHA,Ghana,2016,93654.00391,227539.9952,276.101097337402,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,2016,,9.9974,,Europe & Central Asia,High income
GIN,Guinea,2016,63280,245720.0081,172.752952143501,Sub-Saharan Africa,Low income
GMB,"Gambia, The",2016,4896.000061,10120.0106,324.533830124586,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,2016,19620,28119.9926,468.040386326417,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,2016,15564.00024,28050.0108,372.209731947568,Sub-Saharan Africa,Upper middle income
GRC,Greece,2016,40841.99951,128900.0006,212.546327104541,Europe & Central Asia,High income
GRD,Grenada,2016,169.8999977,339.9893,335.218247918793,Latin America & Caribbean,Upper middle income
GRL,Greenland,2016,2.199999988,410449.991,0.00359552204728951,Europe & Central Asia,High income
GTM,Guatemala,2016,35036.00098,107160.0068,219.321559593199,Latin America & Caribbean,Upper middle income
GUM,Guam,2016,250,539.9891,310.566454026572,East Asia & Pacific,High income
GUY,Guyana,2016,165160,196849.9974,562.819309440336,Latin America & Caribbean,Upper middle income
HKG,"Hong Kong SAR, China",2016,,1050.0119,,East Asia & Pacific,High income
HND,Honduras,2016,44720,111889.9943,268.108184182828,Latin America & Caribbean,Lower middle income
HRV,Croatia,2016,19224.00024,55960.0062,230.444070268784,Europe & Central Asia,High income
HTI,Haiti,2016,961.9999695,27560.0087,23.4150579038204,Latin America & Caribbean,Low income
HUN,Hungary,2016,20736.00098,90530.0053,153.649795681541,Europe & Central Asia,High income
IDN,Indonesia,2016,903256.0156,1811570.0092,334.468535440268,East Asia & Pacific,Lower middle income
IMN,Isle of Man,2016,34.60000038,570.0072,40.7188299637404,Europe & Central Asia,High income
IND,India,2016,708603.9844,2973190.0079,159.874961745584,South Asia,Lower middle income
IRL,Ireland,2016,7597.000122,68890.0114,73.975073428988,Europe & Central Asia,High income
IRN,"Iran, Islamic Rep.",2016,106919.8047,1628759.9874,44.0352628660154,Middle East & North Africa,Upper middle income
IRQ,Iraq,2016,8250,434128.0041,12.7478127366444,Middle East & North Africa,Upper middle income
ISL,Iceland,2016,505,100249.9904,3.37914296698027,Europe & Central Asia,High income
ISR,Israel,2016,1671.999969,21639.9939,51.8296957193176,Middle East & North Africa,High income
ITA,Italy,2016,93507.99805,294140.0063,213.25252882447,Europe & Central Asia,High income
JAM,Jamaica,2016,3348.200073,10830.0073,207.387310899516,Latin America & Caribbean,Upper middle income
JOR,Jordan,2016,975,88779.9941,7.36697221744916,Middle East & North Africa,Upper middle income
JPN,Japan,2016,249564.0039,364560.0084,459.211174014662,East Asia & Pacific,High income
KAZ,Kazakhstan,2016,33090,2699699.9939,8.2220628033317,Europe & Central Asia,Upper middle income
KEN,Kenya,2016,44496.00098,569139.9903,52.4446760482608,Sub-Saharan Africa,Lower middle income
KGZ,Kyrgyz Republic,2016,6290,191799.9895,21.9989318612554,Europe & Central Asia,Lower middle income
KHM,Cambodia,2016,93295.99609,176519.9996,354.542755942386,East Asia & Pacific,Lower middle income
KIR,Kiribati,2016,121.4999962,809.9966,100.621919216602,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,2016,110,260.0101,283.793206494671,Latin America & Caribbean,High income
KOR,"Korea, Rep.",2016,61763.99902,97488.9986,424.990601786797,East Asia & Pacific,High income
KWT,Kuwait,2016,62.5,17820.0029,2.35272829276588,Middle East & North Africa,High income
LAO,Lao PDR,2016,189505.8008,230800.0023,550.790229496666,East Asia & Pacific,Lower middle income
LBN,Lebanon,2016,1373.800049,10230.0079,90.0838806653991,Middle East & North Africa,Upper middle income
LBR,Liberia,2016,41490,96320.0021,288.952515502489,Sub-Saharan Africa,Low income
LBY,Libya,2016,2170,1759539.9913,0.827294467416178,Middle East & North Africa,Upper middle income
LCA,St. Lucia,2016,202.3999977,609.9968,222.578122470703,Latin America & Caribbean,Upper middle income
LIE,Liechtenstein,2016,69.00000095,160.0102,289.268375623988,Europe & Central Asia,High income
LKA,Sri Lanka,2016,20633.99902,62710.0124,220.722215685708,South Asia,Lower middle income
LSO,Lesotho,2016,500,30360.0059,11.0475933734914,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,2016,21820,62641.999,233.662310169891,Europe & Central Asia,High income
LUX,Luxembourg,2016,866.9999695,2429.9898,239.339378930848,Europe & Central Asia,High income
LVA,Latvia,2016,33563.99902,62179.9948,362.095015527505,Europe & Central Asia,High income
MAC,"Macao SAR, China",2016,,30.4066,,East Asia & Pacific,High income
MAF,St. Martin (French part),2016,,54.39,,Latin America & Caribbean,High income
MAR,Morocco,2016,56240,446299.994,84.5313800295502,Middle East & North Africa,Lower middle income
MCO,Monaco,2016,,1.9943,,Europe & Central Asia,High income
MDA,Moldova,2016,4136.000061,32889.9956,84.3560526629991,Europe & Central Asia,Lower middle income
MDG,Madagascar,2016,124570,581799.988,143.628056760977,Sub-Saharan Africa,Low income
MDV,Maldives,2016,10,299.9997,22.360355693689,South Asia,Upper middle income
MEX,Mexico,2016,659483.9844,1943950.0115,227.571927754462,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,2016,126.4000034,180.005,471.04461698705,East Asia & Pacific,Upper middle income
MKD,North Macedonia,2016,9980,25219.9955,265.451427221706,Europe & Central Asia,Upper middle income
MLI,Mali,2016,46360,1220189.9997,25.4868107488555,Sub-Saharan Africa,Low income
MLT,Malta,2016,3.49999994,319.9945,7.33711035580736,Middle East & North Africa,High income
MMR,Myanmar,2016,284945.9961,653079.9996,292.681790532421,East Asia & Pacific,Lower middle income
MNE,Montenegro,2016,8270,13449.9995,412.460885221594,Europe & Central Asia,Upper middle income
MNG,Mongolia,2016,124555.1953,1553560.0108,53.7815533216305,East Asia & Pacific,Lower middle income
MNP,Northern Mariana Islands,2016,293.4000015,460.0099,427.850911483025,East Asia & Pacific,High income
MOZ,Mozambique,2016,377336.0156,786379.9958,321.880991348376,Sub-Saharan Africa,Low income
MRT,Mauritania,2016,2210,1030700.0053,1.43833326125627,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,2016,386.3999939,2029.9902,127.685828191712,Sub-Saharan Africa,Upper middle income
MWI,Malawi,2016,31290,94279.9886,222.630965612993,Sub-Saharan Africa,Low income
MYS,Malaysia,2016,222091.9922,328549.9952,453.451625214579,East Asia & Pacific,Upper middle income
NAM,Namibia,2016,68447.99805,823290.0081,55.7708718922572,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,2016,8390,18280.0128,307.882492292347,East Asia & Pacific,High income
NER,Niger,2016,11295.99976,1266700.0024,5.98205540747507,Sub-Saharan Africa,Low income
NGA,Nigeria,2016,65833.99902,910770.0035,48.4887564510201,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,2016,31140,120339.9988,173.583377167193,Latin America & Caribbean,Lower middle income
NLD,Netherlands,2016,3766.000061,33689.9948,74.9857788912277,Europe & Central Asia,High income
NOR,Norway,2016,121140,365122.9967,222.560408778547,Europe & Central Asia,High income
NPL,Nepal,2016,36360,143349.9991,170.147553213344,South Asia,Low income
NRU,Nauru,2016,,19.9948,,East Asia & Pacific,Upper middle income
NZL,New Zealand,2016,101522.002,263309.9931,258.638015822499,East Asia & Pacific,High income
OMN,Oman,2016,20,309500.0013,0.0433479804318178,Middle East & North Africa,High income
PAK,Pakistan,2016,14290,770880.0113,12.4349765975051,South Asia,Lower middle income
PAN,Panama,2016,46006.00098,74339.993,415.137051699666,Latin America & Caribbean,High income
PER,Peru,2016,738053.9844,1279999.9891,386.792185540155,Latin America & Caribbean,Upper middle income
PHL,Philippines,2016,82800,298169.9945,186.279870625949,East Asia & Pacific,Lower middle income
PLW,Palau,2016,402.9999924,460.0099,587.675232428354,East Asia & Pacific,High income
PNG,Papua New Guinea,2016,335561.9922,452859.9978,497.05944680743,East Asia & Pacific,Lower middle income
POL,Poland,2016,94562.00195,306190.0072,207.169192450639,Europe & Central Asia,High income
PRI,Puerto Rico,2016,4992.600098,8869.9989,377.574575769043,Latin America & Caribbean,High income
PRK,"Korea, Dem. People’s Rep.",2016,49040,120410.0065,273.204224102421,East Asia & Pacific,Low income
PRT,Portugal,2016,31706.00098,91605.6064,232.17686507661,Europe & Central Asia,High income
PRY,Paraguay,2016,149975.9961,397299.9912,253.222754020139,Latin America & Caribbean,Upper middle income
PSE,West Bank and Gaza,2016,91.70000076,6019.9888,10.2181714208198,Middle East & North Africa,Lower middle income
PYF,French Polynesia,2016,1550,3660.0067,284.085682138232,East Asia & Pacific,High income
QAT,Qatar,2016,,11610.0117,,Middle East & North Africa,High income
ROU,Romania,2016,69302.00195,230080.0082,202.053521693501,Europe & Central Asia,Upper middle income
RUS,Russian Federation,2016,8148895,16376869.9997,333.785409241823,Europe & Central Asia,Upper middle income
RWA,Rwanda,2016,4867.999878,24670.009,132.367320910227,Sub-Saharan Africa,Low income
SAU,Saudi Arabia,2016,9770,2149690.0026,3.04872502178143,Middle East & North Africa,High income
SDN,Sudan,2016,190355.293,,,Sub-Saharan Africa,Lower middle income
SEN,Senegal,2016,82330,192530.0069,286.852881736431,Sub-Saharan Africa,Low income
SGP,Singapore,2016,163.5000038,709.0125,154.690414554155,East Asia & Pacific,High income
SLB,Solomon Islands,2016,21793.99902,27990.0005,522.31626371733,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,2016,31076.00098,72180.0107,288.806998159586,Sub-Saharan Africa,Low income
SLV,El Salvador,2016,2606.000061,20720,84.369251974875,Latin America & Caribbean,Lower middle income
SMR,San Marino,2016,,60.0103,,Europe & Central Asia,High income
SOM,Somalia,2016,62862.00195,627340.0098,67.2178704838594,Sub-Saharan Africa,Low income
SRB,Serbia,2016,27213.99902,87460.0006,208.728819544579,Europe & Central Asia,Upper middle income
SSD,South Sudan,2016,71570,,,Sub-Saharan Africa,Low income
STP,Sao Tome and Principe,2016,535.9999847,960.0094,374.531905350726,Sub-Saharan Africa,Lower middle income
SUR,Suriname,2016,153282.002,155999.9994,659.122436904445,Latin America & Caribbean,Upper middle income
SVK,Slovak Republic,2016,19401.99951,48080.0089,270.695775418276,Europe & Central Asia,High income
SVN,Slovenia,2016,12481.99951,20141.9897,415.70123984837,Europe & Central Asia,High income
SWE,Sweden,2016,280730,407310.0045,462.341924380598,Europe & Central Asia,High income
SWZ,Eswatini,2016,5905.999756,17200.0087,230.337307696964,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten (Dutch part),2016,,34.0067,,Latin America & Caribbean,High income
SYC,Seychelles,2016,406.6999817,460.0099,593.070746356061,Sub-Saharan Africa,High income
SYR,Syrian Arab Republic,2016,4910,183629.9899,17.9364879440098,Middle East & North Africa,Low income
TCA,Turks and Caicos Islands,2016,344.0000153,950.012,242.900774162214,Latin America & Caribbean,High income
TCD,Chad,2016,47483.99902,1259200.0099,25.2960142409273,Sub-Saharan Africa,Low income
TGO,Togo,2016,1681.999969,54390,20.7446662843333,Sub-Saharan Africa,Low income
THA,Thailand,2016,164290,510890.0097,215.716441518821,East Asia & Pacific,Upper middle income
TJK,Tajikistan,2016,4123.999939,138789.9933,19.9324197177592,Europe & Central Asia,Low income
TKM,Turkmenistan,2016,41270,469929.9885,58.9116025311928,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,2016,6747.999878,14869.9929,304.413447175296,East Asia & Pacific,Lower middle income
TON,Tonga,2016,90,719.9941,83.8519371200403,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,2016,2361.000061,5129.9871,308.730298935724,Latin America & Caribbean,High income
TUN,Tunisia,2016,10511.99951,155360.0104,45.3884778531342,Middle East & North Africa,Lower middle income
TUR,Turkey,2016,118174.0039,769629.9996,103.000537397658,Europe & Central Asia,Upper middle income
TUV,Tuvalu,2016,10,29.9922,223.661485319516,East Asia & Pacific,Upper middle income
TZA,Tanzania,2016,456880,885799.9948,345.991955971052,Sub-Saharan Africa,Low income
UGA,Uganda,2016,19418.00049,200520.0015,64.9600479316618,Sub-Saharan Africa,Low income
UKR,Ukraine,2016,96787.99805,579289.9931,112.079196508255,Europe & Central Asia,Lower middle income
URY,Uruguay,2016,18677.3999,175020.0011,71.5860275864151,Latin America & Caribbean,High income
USA,United States,2016,3103700,9147419.9901,227.604395474711,North America,High income
UZB,Uzbekistan,2016,32087.80029,425399.989,50.5990076848236,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,2016,270,390.0022,464.40430336034,Latin America & Caribbean,Upper middle income
VEN,"Venezuela, RB",2016,465186.0156,882050.0115,353.779748377268,Latin America & Caribbean,Upper middle income
VGB,British Virgin Islands,2016,36.19999886,150.0128,161.874994902279,Latin America & Caribbean,High income
VIR,Virgin Islands (U.S.),2016,174.8999977,350.0126,335.20126834616,Latin America & Caribbean,High income
VNM,Vietnam,2016,149020,310070.0085,322.392051664681,East Asia & Pacific,Lower middle income
VUT,Vanuatu,2016,4400,12189.9904,242.13013326081,East Asia & Pacific,Lower middle income
WLD,World,2016,39958245.9,127354641.4357,210.470467585685,World,NULL
WSM,Samoa,2016,1710,2829.9894,405.331942232716,East Asia & Pacific,Upper middle income
XKX,Kosovo,2016,,10886.9873,,Europe & Central Asia,Lower middle income
YEM,"Yemen, Rep.",2016,5490,527969.9978,6.97529578450603,Middle East & North Africa,Low income
ZAF,South Africa,2016,92410,1213090.0068,51.1005380907569,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,2016,484683.9844,743390.0103,437.362433003579,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,2016,137495.9961,386849.9887,238.42236483912,Sub-Saharan Africa,Low income
ABW,Aruba,2015,4.199999869,180.005,15.651798072964,Latin America & Caribbean,High income
AFG,Afghanistan,2015,13500,652860.005,13.8711744181664,South Asia,Low income
AGO,Angola,2015,578560,1246699.9965,311.304912721238,Sub-Saharan Africa,Lower middle income
ALB,Albania,2015,7715,27399.9985,188.879541362019,Europe & Central Asia,Upper middle income
AND,Andorra,2015,160,470.0073,228.357304237615,Europe & Central Asia,High income
ARE,United Arab Emirates,2015,3226.000061,71020.0015,30.4707554944139,Middle East & North Africa,High income
ARG,Argentina,2015,271120,2736690.0113,66.4561957872631,Latin America & Caribbean,High income
ARM,Armenia,2015,3320,28470.0052,78.2258093862238,Europe & Central Asia,Upper middle income
ASM,American Samoa,2015,175.4000092,199.9998,588.300989158249,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,2015,98.00000191,439.9892,149.411352099659,Latin America & Caribbean,High income
AUS,Australia,2015,1247510,7682300.01,108.931203156696,East Asia & Pacific,High income
AUT,Austria,2015,38690,82522.9944,314.501904453433,Europe & Central Asia,High income
AZE,Azerbaijan,2015,11394.00024,82663.0098,92.4622672158545,Europe & Central Asia,Upper middle income
BDI,Burundi,2015,2760,25680.0054,72.0963867087037,Sub-Saharan Africa,Low income
BEL,Belgium,2015,6834.000244,30280.0008,151.397476306462,Europe & Central Asia,High income
BEN,Benin,2015,43110,112760.0012,256.461677831199,Sub-Saharan Africa,Low income
BFA,Burkina Faso,2015,53500,273600.0113,131.170809640972,Sub-Saharan Africa,Low income
BGD,Bangladesh,2015,14290,130170.0071,73.6411951843552,South Asia,Lower middle income
BGR,Bulgaria,2015,38230,108560.0054,236.229412530961,Europe & Central Asia,Upper middle income
BHR,Bahrain,2015,6.000000238,778.0101,5.17327494804088,Middle East & North Africa,High income
BHS,"Bahamas, The",2015,5150,10009.9874,345.122462391911,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,2015,21850,51200.0006,286.273404848359,Europe & Central Asia,Upper middle income
BLR,Belarus,2015,86335,202978.0151,285.323419491848,Europe & Central Asia,Upper middle income
BLZ,Belize,2015,13663.00049,22810.0005,401.809607969842,Latin America & Caribbean,Upper middle income
BMU,Bermuda,2015,10,54.0015,124.220623501199,North America,High income
BOL,Bolivia,2015,547640,1083300.0045,339.114176012172,Latin America & Caribbean,Lower middle income
BRA,Brazil,2015,4935380,8358139.9972,396.105145272644,Latin America & Caribbean,Upper middle income
BRB,Barbados,2015,63.00000191,429.9918,98.2833423364052,Latin America & Caribbean,High income
BRN,Brunei Darussalam,2015,3800,5270.0025,483.695785723062,East Asia & Pacific,High income
BTN,Bhutan,2015,27549.29932,38117.0041,484.832056275094,South Asia,Lower middle income
BWA,Botswana,2015,108400,566729.9953,128.307667854262,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,2015,221700,622980.0038,238.721268889626,Sub-Saharan Africa,Low income
CAN,Canada,2015,3470690,9093509.9948,256.02584263187,North America,High income
CHE,Switzerland,2015,12540,39515.9926,212.874758965311,Europe & Central Asia,High income
CHI,Channel Islands,2015,8.000000119,198.0055,27.1026818943231,Europe & Central Asia,High income
CHL,Chile,2015,177350,743532.02,160.004075547412,Latin America & Caribbean,High income
CHN,China,2015,2083212.969,9388211.2541,148.85051623914,East Asia & Pacific,Upper middle income
CIV,Cote d'Ivoire,2015,104010,317999.9928,219.405502137483,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,2015,188160,472709.9909,267.012781683942,Sub-Saharan Africa,Lower middle income
COD,"Congo, Dem. Rep.",2015,1525780,2267049.9992,451.471507977847,Sub-Saharan Africa,Low income
COG,"Congo, Rep.",2015,223340,341499.9952,438.707781861778,Sub-Saharan Africa,Lower middle income
COL,Colombia,2015,585017.3828,1109500.0042,353.704830167199,Latin America & Caribbean,Upper middle income
COM,Comoros,2015,370,1860.9927,133.36951832213,Sub-Saharan Africa,Low income
CPV,Cabo Verde,2015,899.0000153,4029.9882,149.642671475662,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,2015,27560,51060.0111,362.074414041794,Latin America & Caribbean,Upper middle income
CUB,Cuba,2015,32000,104019.9944,206.36340276519,Latin America & Caribbean,Upper middle income
CUW,Curacao,2015,,444.0037,,Latin America & Caribbean,High income
CYM,Cayman Islands,2015,126.9999981,239.9894,354.985964902871,Latin America & Caribbean,High income
CYP,Cyprus,2015,1726.999969,9240.0063,125.377495598124,Europe & Central Asia,High income
CZE,Czech Republic,2015,26670,77209.9979,231.712254715655,Europe & Central Asia,High income
DEU,Germany,2015,114190,348858.9881,219.572367383129,Europe & Central Asia,High income
DJI,Djibouti,2015,55.99999905,23180.0079,1.62059303537729,Middle East & North Africa,Lower middle income
DMA,Dominica,2015,433.3000183,750.0122,387.54300966814,Latin America & Caribbean,Upper middle income
DNK,Denmark,2015,6122.000122,41990.0124,97.8018025505232,Europe & Central Asia,High income
DOM,Dominican Republic,2015,19830,48310.0009,275.350073528978,Latin America & Caribbean,Upper middle income
DZA,Algeria,2015,19560,2381739.9907,5.50901595104161,Middle East & North Africa,Upper middle income
ECU,Ecuador,2015,125478.7988,248359.9951,338.913008067731,Latin America & Caribbean,Upper middle income
EGY,"Egypt, Arab Rep.",2015,730,995450.0017,0.491929578747019,Middle East & North Africa,Lower middle income
ERI,Eritrea,2015,15100,101000.0026,100.289413259876,Sub-Saharan Africa,Low income
ESP,Spain,2015,184178.6914,499661.0129,247.265455555486,Europe & Central Asia,High income
EST,Estonia,2015,22320,43469.9902,344.432541417964,Europe & Central Asia,High income
ETH,Ethiopia,2015,124990,1000000.0101,83.8445410531701,Sub-Saharan Africa,Low income
FIN,Finland,2015,222180,303910.0043,490.410199372301,Europe & Central Asia,High income
FJI,Fiji,2015,10172.00012,18269.9895,373.480203724102,East Asia & Pacific,Upper middle income
FRA,France,2015,169890,547557.0023,208.131592548899,Europe & Central Asia,High income
FRO,Faroe Islands,2015,0.799999982,1396.01,0.384415575766234,Europe & Central Asia,High income
FSM,"Micronesia, Fed. Sts.",2015,642.6999664,699.9993,615.899993701114,East Asia & Pacific,Lower middle income
GAB,Gabon,2015,230000,257670.0091,598.774768312763,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,2015,31440,241930.0093,87.1750737373282,Europe & Central Asia,High income
GEO,Georgia,2015,28223.99902,69490.0108,272.455574040668,Europe & Central Asia,Lower middle income
GHA,Ghana,2015,93370,227539.9952,275.263826233921,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,2015,,9.9974,,Europe & Central Asia,High income
GIN,Guinea,2015,63640,245720.0081,173.735743906644,Sub-Saharan Africa,Low income
GMB,"Gambia, The",2015,4880,10120.0106,323.473258022081,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,2015,19720,28119.9926,470.425913269977,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,2015,15680,28050.0108,374.983841360945,Sub-Saharan Africa,Upper middle income
GRC,Greece,2015,40540,128900.0006,210.97468792409,Europe & Central Asia,High income
GRD,Grenada,2015,169.8999977,339.9893,335.218247918793,Latin America & Caribbean,Upper middle income
GRL,Greenland,2015,2.199999988,410449.991,0.00359552204728951,Europe & Central Asia,High income
GTM,Guatemala,2015,35400,107160.0068,221.600153911151,Latin America & Caribbean,Upper middle income
GUM,Guam,2015,250,539.9891,310.566454026572,East Asia & Pacific,High income
GUY,Guyana,2015,165260,196849.9974,563.160081606381,Latin America & Caribbean,Upper middle income
HKG,"Hong Kong SAR, China",2015,,1050.0119,,East Asia & Pacific,High income
HND,Honduras,2015,45920,111889.9943,275.302500395248,Latin America & Caribbean,Lower middle income
